accuracy_after_ft,accuracy_before_ft,accuracy_drop,accuracy_recovery,achieved_sparsity_global,error,method,pruning_method,run_dir,seed,target_sparsity
0.01,0.01,0.7145,0.0,0.6799242424242424,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.7
0.01,0.01,0.7145,0.0,0.7755681818181818,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.8
0.01,0.01,0.7145,0.0,0.8752367424242424,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.9
0.7158,0.7158,0.008700000000000041,0.0,0.09990530303030302,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.1
0.0268,0.0268,0.6977,0.0,0.29640151515151514,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.3
0.0132,0.0132,0.7113,0.0,0.48200757575757575,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.5
0.01,0.01,0.7145,0.0,0.6799242424242424,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.7
0.01,0.01,0.7145,0.0,0.7755681818181818,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.8
0.01,0.01,0.7145,0.0,0.8752367424242424,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.9
0.7185,0.7185,0.0040000000000000036,0.0,0.09990530303030302,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.1
