run_dir,layer_name,n_channels,n_patches,cos_mean,cos_std,abs_cos_mean,cos_p25,cos_p50,cos_p75,sigma_norm_mean,g_t_norm_mean
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_214528_12797072,layer3.1.conv1,256,131072,-0.017934251576662064,0.07498198747634888,0.06303729861974716,-0.0697646513581276,-0.020789720118045807,0.03350178524851799,0.06942608952522278,0.11447781324386597
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_214528_12797072,layer3.1.conv2,256,131072,-0.018589191138744354,0.05774069204926491,0.049379147589206696,-0.059034980833530426,-0.020683400332927704,0.020959703251719475,0.004776082932949066,0.02784164622426033
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_214528_12797072,layer4.0.conv1,512,32768,-0.0010615845676511526,0.06264796108007431,0.048645276576280594,-0.040895551443099976,-0.0008068119641393423,0.035826899111270905,0.06282469630241394,0.11616381257772446
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_214528_12797072,layer4.0.conv2,512,32768,-0.046195536851882935,0.0809478685259819,0.07708631455898285,-0.10640992224216461,-0.05106596648693085,0.00847153551876545,0.011624690145254135,0.08116144686937332
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_214528_12797072,layer4.0.downsample.0,512,32768,0.011068630032241344,0.07404496520757675,0.06030969321727753,-0.03822036460042,0.012647871859371662,0.06538943201303482,0.010580684058368206,0.042137786746025085
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_214528_12797072,layer4.1.conv1,512,32768,-0.15860103070735931,0.04784907400608063,0.15866602957248688,-0.18683961033821106,-0.1560339480638504,-0.13115839660167694,0.029612034559249878,0.1444666087627411
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_214528_12797072,layer4.1.conv2,512,32768,0.032875724136829376,0.06564553827047348,0.0595826730132103,-0.004781064577400684,0.03521406278014183,0.07796959578990936,0.0020483764819800854,0.08020775020122528
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,conv1,64,131072,0.12652964890003204,0.7079474329948425,0.655456006526947,-0.6351356506347656,0.2563630938529968,0.7970810532569885,0.513861358165741,0.3436301648616791
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,layer1.0.conv1,64,131072,0.016127752140164375,0.16808190941810608,0.14126062393188477,-0.12603797018527985,0.027157671749591827,0.181174173951149,0.049026623368263245,0.061754010617733
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,layer1.0.conv2,64,131072,0.010835127905011177,0.09690728038549423,0.07129602134227753,-0.05073151737451553,-0.0013492342550307512,0.05324653536081314,0.031121449545025826,0.032846540212631226
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,layer1.1.conv1,64,131072,0.027621570974588394,0.13701996207237244,0.11927890032529831,-0.07817148417234421,0.029950153082609177,0.1407937854528427,0.07702302187681198,0.04802604392170906
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,layer1.1.conv2,64,131072,0.020869215950369835,0.12750160694122314,0.10464011132717133,-0.07908947020769119,0.02828645519912243,0.10753660649061203,0.00631048996001482,0.013155287131667137
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,layer2.0.conv1,128,131072,-0.01902817189693451,0.10020927339792252,0.08579219877719879,-0.09208497405052185,-0.030800895765423775,0.06561720371246338,0.09300315380096436,0.04995088279247284
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,layer2.0.conv2,128,131072,-0.010824227705597878,0.1222669705748558,0.1005215123295784,-0.09718824177980423,-0.019312605261802673,0.07123347371816635,0.033845581114292145,0.036289867013692856
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,layer2.0.downsample.0,128,131072,-0.011775428429245949,0.12922349572181702,0.10189013928174973,-0.08978691697120667,-0.006772656459361315,0.0635913535952568,0.01265072263777256,0.018719099462032318
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,layer2.1.conv1,128,131072,0.007606083527207375,0.08853849023580551,0.07082748413085938,-0.0411316342651844,0.0030184818897396326,0.06599409878253937,0.0819089338183403,0.07064487040042877
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,layer2.1.conv2,128,131072,0.01476211380213499,0.084654301404953,0.07079807668924332,-0.045896027237176895,0.015951847657561302,0.06903928518295288,0.007945743389427662,0.017799178138375282
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,layer3.0.conv1,256,131072,0.0001510462025180459,0.09167589992284775,0.07320523262023926,-0.0555834099650383,-0.007369779981672764,0.06816980242729187,0.10709473490715027,0.0678725466132164
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,layer3.0.conv2,256,131072,-0.009034458547830582,0.06982915848493576,0.054608725011348724,-0.05234887823462486,-0.006508363876491785,0.03308074548840523,0.03918776288628578,0.055126212537288666
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,layer3.0.downsample.0,256,131072,0.00535209197551012,0.09014147520065308,0.07421329617500305,-0.06101153790950775,0.0032228988129645586,0.07261033356189728,0.014123723842203617,0.024263551458716393
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,layer3.1.conv1,256,131072,0.01977490819990635,0.06374607980251312,0.0522615984082222,-0.022373951971530914,0.01476132683455944,0.06317730247974396,0.06780892610549927,0.10557376593351364
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,layer3.1.conv2,256,131072,-0.01268710196018219,0.05253470689058304,0.042129211127758026,-0.04601212218403816,-0.013220217078924179,0.014746428467333317,0.004693977069109678,0.024555746465921402
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,layer4.0.conv1,512,32768,-0.00329227396287024,0.06748536974191666,0.05355387553572655,-0.04657263308763504,-0.0037975788582116365,0.04068809747695923,0.06189385801553726,0.11122877150774002
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,layer4.0.conv2,512,32768,-0.045176006853580475,0.07961858808994293,0.07643365859985352,-0.10167164355516434,-0.05110436677932739,0.00919430237263441,0.01130403857678175,0.07606673240661621
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,layer4.0.downsample.0,512,32768,0.0020038653165102005,0.06992705911397934,0.05651257187128067,-0.04745470732450485,-0.002632961142808199,0.05196990445256233,0.010432550683617592,0.04120669886469841
